Name,WHO Region,Cases - cumulative total,Cases - cumulative total per 100000 population,Cases - newly reported in last 7 days,Cases - newly reported in last 7 days per 100000 population,Cases - newly reported in last 24 hours,Deaths - cumulative total,Deaths - cumulative total per 100000 population,Deaths - newly reported in last 7 days,Deaths - newly reported in last 7 days per 100000 population,Deaths - newly reported in last 24 hours
Global,,426624859,5473.3805888553225,11907940,152.77283138640024,1666103,5899578,75.68859391674106,62560,0.8026130742624847,7523,
United States of America,Americas,77846164,23518.29,541628,163.633,60550,928350,280.466,11946,3.609,828
India,South-East Asia,42867031,3106.297,143473,10.397,15102,512622,37.146,2750,0.199,278
Brazil,Americas,28245551,13288.308,707048,332.635,37339,644604,303.258,5769,2.714,318
France,Europe,21746293,33435.589,500804,770.001,95958,134231,206.384,1624,2.497,274
The United Kingdom,Europe,18695452,27539.479,301497,444.122,40876,160815,236.89,976,1.438,205
Russian Federation,Europe,15795570,10823.742,1135690,778.219,137642,347816,238.337,5433,3.723,785
Germany,Europe,13971947,16799.927,1171632,1408.775,209052,121902,146.575,1435,1.725,299
Turkey,Europe,13674690,16213.945,595898,706.55,86070,92990,110.257,1873,2.221,271
Italy,Europe,12554596,21050.105,349122,585.368,60137,153512,257.391,1828,3.065,322
Spain,Europe,10880194,22986.675,132913,280.806,14366,98635,208.387,916,1.935,98
Argentina,Americas,8855624,19593.92,89450,197.917,16950,125618,277.942,1033,2.286,167
Iran (Islamic Republic of),Eastern Mediterranean,6983635,8314.549,123380,146.893,22073,135499,161.322,1446,1.722,223
Netherlands,Europe,6153207,35347.85,310144,1781.66,34683,21507,123.55,95,0.546,18
Colombia,Americas,6049952,11889.953,26695,52.464,2910,138205,271.614,904,1.777,99
Poland,Europe,5602680,14760.155,136586,359.833,20463,110517,291.155,1630,4.294,360
Mexico,Americas,5418257,4202.39,28672,22.238,4832,315786,244.923,766,0.594,98
Indonesia,South-East Asia,5350902,1956.285,384856,140.703,61488,147025,53.752,1403,0.513,227
Ukraine,Europe,4783835,10938.541,179905,411.364,25062,105229,240.613,1664,3.805,297
Japan,Western Pacific,4607029,3642.598,551354,435.934,66373,22272,17.61,1571,1.242,272
South Africa,Africa,3662032,6174.529,16763,28.264,2334,98868,166.701,1437,2.423,64
Philippines,Western Pacific,3654284,3334.776,12358,11.277,1019,55776,50.899,630,0.575,13
Israel,Europe,3582315,41387.534,102366,1182.664,12101,10040,115.995,182,2.103,8
Czechia,Europe,3538222,33086.237,86532,809.169,14307,38403,359.11,331,3.095,28
Belgium,Europe,3520568,30554.015,42085,365.244,7,30040,260.709,188,1.632,1
Peru,Americas,3497896,10608.733,48184,146.137,1887,209641,635.818,1175,3.564,173
Malaysia,Western Pacific,3273958,10115.424,190275,587.885,27179,32433,100.207,253,0.782,43
Canada,Americas,3243953,8595.039,40819,108.152,2084,36046,95.506,466,1.235,5
Portugal,Europe,3206281,31141.311,94423,917.092,13103,20894,202.935,274,2.661,28
Chile,Americas,2895931,15149.093,218239,1141.644,19476,41526,217.229,828,4.331,35
Viet Nam,Western Pacific,2890252,2969.277,318165,326.864,55879,39682,40.767,560,0.575,77
Thailand,South-East Asia,2770793,3969.619,131731,188.726,21232,22730,32.564,214,0.307,39
Australia,Western Pacific,2726179,10690.947,145784,571.705,24861,4965,19.471,296,1.161,36
Switzerland,Europe,2700151,31198.962,76846,887.919,94,12588,145.448,34,0.393,0
Romania,Europe,2686089,13896.795,89820,464.694,14775,62839,325.105,959,4.961,215
Denmark,Europe,2637414,45294.888,237563,4079.902,30480,4375,75.136,236,4.053,34
Austria,Europe,2532341,28449.868,195052,2191.334,22270,14065,158.015,163,1.831,28
Sweden,Europe,2431365,23542.426,21666,209.788,2037,16933,163.959,57,0.552,1
Greece,Europe,2336615,21799.7,120204,1121.456,19601,25485,237.765,568,5.299,68
Republic of Korea,Western Pacific,2329182,4543.045,776339,1514.241,171452,7607,14.837,405,0.79,99
Iraq,Eastern Mediterranean,2294929,5705.586,13363,33.223,1685,24897,61.898,133,0.331,21
Bangladesh,South-East Asia,1938135,1176.843,15104,9.171,1298,28995,17.606,108,0.066,5
Serbia,Europe,1892187,27317.274,37013,534.352,4591,14958,215.947,405,5.847,54
Hungary,Europe,1769164,18109.005,38798,397.133,6286,43562,445.897,711,7.278,132
Jordan,Eastern Mediterranean,1591278,15595.973,82328,806.889,9117,13731,134.576,177,1.735,18
Georgia,Europe,1575999,39506.891,79843,2001.492,10230,15981,400.609,298,7.47,48
Pakistan,Eastern Mediterranean,1502641,680.259,13683,6.194,961,30053,13.605,225,0.102,13
Slovakia,Europe,1393534,25532.547,105010,1924.01,19075,18314,335.552,169,3.096,35
Kazakhstan,Europe,1388101,7392.675,6543,34.846,655,18882,100.561,75,0.399,10
Ireland,Europe,1280058,25784.54,30075,605.809,3280,6452,129.964,59,1.188,9
Morocco,Eastern Mediterranean,1159584,3141.605,3228,8.745,427,15922,43.137,102,0.276,6
Norway,Europe,1151323,21449.573,85715,1596.902,6322,1549,28.858,1,0.019,0
Bulgaria,Europe,1077160,15495.401,27617,397.282,4667,35245,507.014,559,8.041,60
Cuba,Americas,1066414,9415.116,4260,37.611,467,8491,74.965,15,0.132,0
Lebanon,Eastern Mediterranean,1053252,15431.258,29317,429.525,3978,10007,146.613,135,1.978,18
Croatia,Europe,1043334,25709.502,21557,531.201,1810,14905,367.284,321,7.91,36
Tunisia,Eastern Mediterranean,990483,8380.7,19023,160.958,0,27592,233.462,359,3.038,0
Nepal,South-East Asia,976361,3350.954,1868,6.411,256,11930,40.945,25,0.086,2
Mongolia,Western Pacific,903150,27549.424,11883,362.476,525,2089,63.722,12,0.366,2
Bolivia (Plurinational State of),Americas,890420,7628.017,4312,36.94,0,21386,183.209,55,0.471,0
